Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
MCW_CT_ROA_100_R1 - nextera_transposase_sequence	0.05247832381021849	0.05315178699830619	0.05315178699830619	0.05317250894255504	0.05320359185892832	0.05320359185892832	0.053265757691674874	0.053265757691674874	0.053359006440794714	0.05356622588328323	0.05356622588328323	0.05362839171602979	0.05365947463240307	0.0537112794930252	0.053752723381522906	0.053835611158518315	0.05388741601914045	0.0539081379633893	0.053918498935513724	0.054136079350126674	0.05430185490411749	0.05567986419666617	0.05575239100153715	0.05613574697014092	0.05632224446838059	0.05667451752061108	0.05782458542642239	0.06037338456903122	0.06505654396927184	0.0750237991529698	0.08857595069171922	0.10596166191650631	0.13740721231413972	0.17692395999670107	0.2112394996728005	0.2552736312016117	0.31797823449863877	0.3714304896885533	0.437771794201254	0.5612020551195428	0.794095986532394	1.1873052396264911	1.7606089101873637	2.3847538709627956	2.983555893921881	3.462885547314208	3.8225252507251644	4.021632052040262	4.161028571002292	4.328192495257783	4.615512613240245	5.089723946403105	5.71237692719262	6.478570815793934	7.2397603548591505	7.850290998263087	8.320337220631927	8.597793693151937	8.782187914050349	8.949621223581076	9.179676248631834	9.550495440965046	10.096684447476296	10.787212156652926
MCW_CT_ROA_100_R2 - nextera_transposase_sequence	0.05328647963592373	0.053918498935513724	0.05392885990763815	0.053949581851887	0.053959942824011425	0.053959942824011425	0.054001386712509133	0.05401174768463356	0.05408427448950454	0.05429149393199306	0.054353659764739624	0.05437438170898847	0.054405464625361756	0.05449871337448159	0.05450907434660601	0.054623045039974706	0.05464376698422355	0.05466448892847241	0.05468521087272126	0.05488206934308536	0.05507892781344945	0.05662271265998895	0.05670560043698436	0.05708895640558813	0.0572754539038278	0.05765880987243157	0.05891248749948713	0.06184464261069973	0.06694224089591741	0.07763476412832519	0.09256492495962329	0.11135972839333234	0.1456441851530585	0.18740926378662034	0.22398349538584467	0.2715921622975829	0.33978808082055584	0.39752977846998283	0.46825377419131575	0.5986569693493434	0.8429479700990633	1.2497197357040342	1.8523138744606595	2.4981650718367643	3.123076744549403	3.616414432253955	3.9872957904199136	4.195748188591243	4.341827534573528	4.514679632525329	4.813272488179167	5.303211777026907	5.951373471186758	6.737450065294846	7.519154329166427	8.1524791112441	8.635963514458322	8.926257231440495	9.115344972711272	9.290300348004331	9.527867077845299	9.912321309494256	10.475533393205938	11.19644983362351
MCW_CT_ROA_101_R1 - nextera_transposase_sequence	0.02362420799884541	0.023892094127818852	0.023892094127818852	0.02392557989394053	0.023959065660062215	0.023959065660062215	0.023959065660062215	0.023959065660062215	0.024009294309244734	0.024042780075366414	0.024109751607609774	0.024109751607609774	0.024109751607609774	0.024126494490670614	0.024126494490670614	0.024126494490670614	0.024143237373731453	0.024159980256792293	0.024176723139853133	0.024277180438218176	0.024344151970461535	0.02509758170819934	0.025331982071051102	0.025616611083085387	0.025784039913693785	0.02610215469184975	0.027240670739986875	0.029551188602382813	0.03383736666595789	0.04205812224883038	0.05225453803288202	0.06630181692092688	0.09039482564547581	0.12252441823922801	0.15529024038929212	0.19406675755819786	0.25102604573117593	0.30448607134443845	0.3681927413909351	0.47800931138698544	0.687713921724008	1.0249658152185106	1.5014180384808378	2.0167639790934966	2.516170695032236	2.913077480872512	3.204269703066643	3.375900997323315	3.495746554272809	3.640991064825597	3.8754918849757236	4.252256982493809	4.751864613029278	5.3227634396378045	5.889309116650512	6.359466015881964	6.700384600766791	6.9285566111199195	7.075023352136149	7.2178066588789935	7.400237112709908	7.684983324925615	8.102400142515421	8.627222554940515
MCW_CT_ROA_101_R2 - nextera_transposase_sequence	0.02349026493435869	0.023741408180271293	0.023758151063332133	0.023825122595575492	0.023858608361697172	0.023858608361697172	0.023858608361697172	0.023858608361697172	0.023959065660062215	0.024009294309244734	0.024059522958427254	0.024059522958427254	0.024059522958427254	0.024059522958427254	0.024059522958427254	0.024059522958427254	0.024093008724548934	0.024143237373731453	0.024159980256792293	0.024310666204339856	0.024360894853522375	0.025147810357381863	0.025415696486355305	0.025717068381450426	0.025817525679815465	0.02618586910715395	0.027458328219777797	0.029886046263599617	0.03437313892390477	0.04304595234941995	0.05394556922202687	0.06849513460189693	0.09370991649152216	0.12716219684708072	0.161585564420168	0.20260562791922632	0.26097131826931497	0.3166079186804867	0.38232373469428416	0.4963427683386054	0.7117901875654961	1.0589873535981376	1.555765436896325	2.0815087078897654	2.5949794455996105	2.996825381942834	3.292873040224609	3.467333881718563	3.5880500685872203	3.731687262366168	3.966539683060572	4.343488952292327	4.850898766334147	5.414095866734687	5.974413191248763	6.4444026616496055	6.782960500022854	7.016607433136878	7.161500343145389	7.305773766480647	7.4882042203115615	7.778073754743887	8.201903096545994	8.741760617959722
MCW_CT_ROA_102_R1 - nextera_transposase_sequence	0.10994416058244197	0.11152113743120022	0.11153224290196613	0.11153224290196613	0.11162108666809335	0.11163219213885925	0.11164329760962516	0.11172103590498648	0.11185430155417732	0.112120832852559	0.11218746567715442	0.11218746567715442	0.11220967661868622	0.11223188756021803	0.11223188756021803	0.11227630944328164	0.11229852038481344	0.11230962585557935	0.11232073132634525	0.11253173527089741	0.11264278997855645	0.11355343858136051	0.11363117687672183	0.113842180821274	0.11394213005816713	0.11429750512267603	0.11545247408232996	0.11759582994014929	0.12150495564974723	0.13018943378868356	0.14017325200723055	0.15432162176299127	0.18141897043179514	0.21455769519725038	0.24511995074501605	0.28352266865350945	0.33938318660600264	0.3921008563317453	0.45375843002404004	0.565890368347365	0.7837130719497908	1.15311434603603	1.6873541227005706	2.2700470683167473	2.849785958709193	3.2924722343796278	3.6103885459951397	3.7886313517878865	3.9195315357055875	4.07761791205822	4.340795358268595	4.759371656906254	5.332736007079071	6.0057053245512755	6.673177433994357	7.21654590762847	7.610257057221271	7.852978226280852	8.008699137360347	8.166019236230133	8.365240276299671	8.69240744506318	9.170375801356888	9.768183292685459
MCW_CT_ROA_102_R2 - nextera_transposase_sequence	0.1104661177084394	0.11203198908643176	0.11204309455719767	0.11205420002796357	0.1121319383233249	0.1121541492648567	0.1121541492648567	0.11224299303098394	0.11244289150477019	0.11270942280315187	0.11277605562774728	0.1127871610985132	0.1128426884523427	0.11287600486464042	0.11287600486464042	0.11292042674770403	0.11294263768923583	0.11300927051383125	0.11300927051383125	0.1131647471045539	0.11327580181221293	0.11417534494425109	0.11425308323961242	0.11448629812569638	0.11458624736258952	0.11498604431016203	0.11617432968211368	0.11829547459840119	0.12233786595718997	0.13127776992374207	0.14189459997594556	0.15654271591617192	0.18452850224624803	0.21827802790382794	0.24914013116227302	0.2878426967814458	0.3433478396694301	0.3961543531613	0.45828946209652854	0.5688333181003292	0.7857342676291852	1.152858920208414	1.694417202107685	2.274189408912429	2.853695084418791	3.286031061335404	3.5949630471013	3.769996371842701	3.897553809059865	4.05056498527248	4.3083451726906254	4.718925532376834	5.29042416346098	5.945635833178504	6.595972201229798	7.125980793532529	7.507320448692115	7.749319762151911	7.899243617491605	8.053709610374552	8.248266352722412	8.573001423388188	9.046749700790853	9.646722758918775
MCW_CT_ROA_107_R1 - nextera_transposase_sequence	0.022705734811771516	0.02282632134466752	0.02282632134466752	0.022840507995596462	0.02288306794838329	0.02288306794838329	0.022925627901170115	0.022975281179421412	0.023074587735924006	0.023223547570677894	0.023230640896142365	0.023230640896142365	0.023244827547071308	0.023244827547071308	0.023244827547071308	0.023244827547071308	0.023287387499858134	0.023301574150787076	0.02333704077810943	0.023528560565650145	0.023663333749475095	0.025003972262260105	0.025223865351658704	0.025997037827286035	0.026429730680618765	0.027543382778540706	0.031302845274710306	0.038112437720602424	0.05104357004233297	0.07794146020360682	0.112450488588258	0.15470542838011145	0.2311998501889662	0.3298325407724348	0.42259905119678587	0.5479026455266652	0.7182559498813996	0.8744651632599789	1.062707834436109	1.3996762606258015	1.9995162352033231	2.9672373483447014	4.2829215421457025	5.739968619128145	7.114201121312889	8.194067710047554	8.955089319154249	9.412793238074702	9.749655264382426	10.150917592582084	10.779379135408746	11.74931336609504	13.037283937306352	14.552177083451555	16.037902475286852	17.24983259751904	18.13888163793397	18.72066909920441	19.109085414987913	19.481733268263895	19.961313002916775	20.681569270579157	21.722443849235624	23.016379907162555
MCW_CT_ROA_107_R2 - nextera_transposase_sequence	0.023110054363246358	0.023237734221606837	0.02325192087253578	0.02326610752346472	0.023315760801716018	0.023315760801716018	0.023365414079967315	0.023415067358218612	0.023521467240185674	0.023677520400404037	0.023684613725868508	0.023684613725868508	0.02370589370226192	0.023712987027726392	0.023712987027726392	0.023712987027726392	0.023755546980513215	0.023769733631442157	0.02379101360783557	0.023954160093518403	0.02410311992827229	0.025472131742915186	0.025677838181384843	0.026451010657012178	0.026954636764989614	0.028068288862911555	0.032026364472086344	0.03899201007819682	0.0522565286967575	0.08006236451748362	0.11571341830191463	0.15910329016808344	0.2376476830361703	0.33913189045635617	0.4335369590630001	0.5623162828704702	0.7368688359001714	0.8962416724359047	1.0897050311538854	1.434156915708595	2.0449064248504727	3.0305310914641757	4.382540204968732	5.864747307373654	7.272360999194198	8.368450023266108	9.138884475264156	9.604391052195526	9.946253872955703	10.351396250184427	10.989001089534792	11.970057654549375	13.281968199203277	14.796279692660395	16.285431160695033	17.506887619026003	18.400334521228906	18.992506610979333	19.381582606031028	19.75876309427881	20.24158447866895	20.972026761698313	22.027698017273668	23.34870220517302
MCW_CT_ROA_109_R1 - nextera_transposase_sequence	0.02296876678609695	0.023092922282238016	0.023092922282238016	0.023092922282238016	0.023114832075674673	0.023136741869111334	0.02315865166254799	0.023165954927026878	0.02320247124942131	0.023297413687646828	0.023297413687646828	0.023297413687646828	0.023297413687646828	0.023304716952125715	0.023304716952125715	0.023304716952125715	0.023304716952125715	0.023304716952125715	0.023319323481083485	0.023458085506182322	0.02353842141545007	0.02428335439229646	0.024400206623958635	0.024823795963734033	0.02519626245215723	0.025853556255256982	0.028804075104726986	0.033229853378931994	0.04278252331731509	0.061800224020334624	0.08817231205359252	0.11958365257728186	0.17602328047011406	0.25245924650613655	0.33075754498427495	0.4388677690652267	0.5964064871392799	0.7411133695239301	0.9201748080172608	1.2298989513023437	1.7981440506110387	2.713506007336713	3.993556475815568	5.4527633252259795	6.880602653699574	8.022059072162607	8.864118163313702	9.362368775856751	9.729912864021175	10.163536889190562	10.857821726875875	11.930057804608024	13.389666333564774	15.110344657848266	16.824041061289947	18.2580516482482	19.30902792308231	19.998821253113107	20.44532823682325	20.8807634715834	21.43297790536094	22.297523747842526	23.5411090167783	25.100604294012776
MCW_CT_ROA_109_R2 - nextera_transposase_sequence	0.02317325819150576	0.023297413687646828	0.023297413687646828	0.023297413687646828	0.023319323481083485	0.023341233274520146	0.023355839803477916	0.02337044633243569	0.02342156918378789	0.023523814886492297	0.023523814886492297	0.023523814886492297	0.023523814886492297	0.023523814886492297	0.023523814886492297	0.023523814886492297	0.023523814886492297	0.023523814886492297	0.02353842141545007	0.02366988017607002	0.0237867324077322	0.024553575178015246	0.024648517616240765	0.02503559063362173	0.025393450593087154	0.02602883460275025	0.029037779568051345	0.033536590487045215	0.04325723550844268	0.06264009943540653	0.08966217800728529	0.12174541886303217	0.17886425035240078	0.2552125772146766	0.3339198585036327	0.4413654855170058	0.5977064682165216	0.7405583214235348	0.9200287427276831	1.2247574531092078	1.7906582045201802	2.694356847873074	3.9698792923750195	5.402524168875722	6.814128340412752	7.926890232738241	8.744556420529856	9.231034170732942	9.588463237594109	10.007276242400314	10.682798993639368	11.725588308992648	13.158780930329266	14.813707964509348	16.46246374020477	17.850244663011676	18.862813069951326	19.539299852101593	19.96511668754305	20.387369529918807	20.922560054196065	21.770359511227564	22.99408720404525	24.541860741791112
