Sample	Top over-represented sequence	Sum of remaining over-represented sequences
MCW_CT_ROA_100_R1	0.0	0.0
MCW_CT_ROA_100_R2	0.0	0.0
MCW_CT_ROA_101_R1	0.0	0.0
MCW_CT_ROA_101_R2	0.0	0.0
MCW_CT_ROA_102_R1	0.0	0.0
MCW_CT_ROA_102_R2	0.10322535076907051	0.0
MCW_CT_ROA_107_R1	0.0	0.0
MCW_CT_ROA_107_R2	0.0	0.0
MCW_CT_ROA_109_R1	0.0	0.0
MCW_CT_ROA_109_R2	0.0	0.0
MCW_CT_ROA_112_R1	0.0	0.0
MCW_CT_ROA_112_R2	0.0	0.0
MCW_CT_ROA_113_R1	0.0	0.0
MCW_CT_ROA_113_R2	0.0	0.0
MCW_CT_ROA_114_R1	0.0	0.0
MCW_CT_ROA_114_R2	0.0	0.0
MCW_CT_ROA_115_R1	0.0	0.0
MCW_CT_ROA_115_R2	0.0	0.0
MCW_CT_ROA_116_R1	0.0	0.0
MCW_CT_ROA_116_R2	0.0	0.0
MCW_CT_ROA_117_R1	0.20340101481602513	0.0
MCW_CT_ROA_117_R2	0.21106268623841948	0.0
MCW_CT_ROA_119_R1	0.0	0.0
MCW_CT_ROA_119_R2	0.0	0.0
MCW_CT_ROA_121_R1	0.0	0.0
MCW_CT_ROA_121_R2	0.0	0.0
MCW_CT_ROA_124_R1	0.0	0.0
MCW_CT_ROA_124_R2	0.0	0.0
MCW_CT_ROA_125_R1	0.0	0.0
MCW_CT_ROA_125_R2	0.0	0.0
MCW_CT_ROA_127_R1	0.0	0.0
MCW_CT_ROA_127_R2	0.0	0.0
MCW_CT_ROA_130_R1	0.0	0.0
MCW_CT_ROA_130_R2	0.0	0.0
MCW_CT_ROA_138_R1	0.0	0.0
MCW_CT_ROA_138_R2	0.0	0.0
MCW_CT_ROA_139_R1	0.0	0.0
MCW_CT_ROA_139_R2	0.0	0.0
MCW_CT_ROA_140_R1	0.0	0.0
MCW_CT_ROA_140_R2	0.0	0.0
MCW_CT_ROA_141_R1	0.0	0.0
MCW_CT_ROA_141_R2	0.0	0.0
MCW_CT_ROA_142_R1	0.0	0.0
MCW_CT_ROA_142_R2	0.0	0.0
MCW_CT_ROA_145_R1	0.0	0.0
MCW_CT_ROA_145_R2	0.0	0.0
MCW_CT_ROA_146_R1	0.0	0.0
MCW_CT_ROA_146_R2	0.0	0.0
MCW_CT_ROA_147_R1	0.0	0.0
MCW_CT_ROA_147_R2	0.0	0.0
MCW_CT_ROA_148_R1	0.0	0.0
MCW_CT_ROA_148_R2	0.0	0.0
MCW_CT_ROA_149_R1	0.0	0.0
MCW_CT_ROA_149_R2	0.0	0.0
MCW_CT_ROA_156_R1	0.0	0.0
MCW_CT_ROA_156_R2	0.0	0.0
MCW_CT_ROA_157_R1	0.0	0.0
MCW_CT_ROA_157_R2	0.0	0.0
MCW_CT_ROA_158_R1	0.0	0.0
MCW_CT_ROA_158_R2	0.0	0.0
MCW_CT_ROA_159_R1	0.0	0.0
MCW_CT_ROA_159_R2	0.0	0.0
MCW_CT_ROA_163_R1	0.0	0.0
MCW_CT_ROA_163_R2	0.0	0.0
MCW_CT_ROA_167_R1	0.2385264693287891	0.0
MCW_CT_ROA_167_R2	0.19394499108516317	0.0
MCW_CT_ROA_171_R1	0.0	0.0
MCW_CT_ROA_171_R2	0.0	0.0
MCW_CT_ROA_172_R1	0.16347344641377265	1.6723347044917598
MCW_CT_ROA_172_R2	0.14723840834454002	1.6327488839422086
MCW_CT_ROA_173_R1	0.0	0.0
MCW_CT_ROA_173_R2	0.0	0.0
MCW_CT_ROA_174_R1	0.0	0.0
MCW_CT_ROA_174_R2	0.0	0.0
MCW_CT_ROA_175_R1	0.0	0.0
MCW_CT_ROA_175_R2	0.0	0.0
MCW_CT_ROA_177_R1	0.10629233487985208	0.0
MCW_CT_ROA_177_R2	0.0	0.0
MCW_CT_ROA_180_R1	0.0	0.0
MCW_CT_ROA_180_R2	0.0	0.0
MCW_CT_ROA_181_R1	0.0	0.0
MCW_CT_ROA_181_R2	0.0	0.0
MCW_CT_ROA_183_R1	0.0	0.0
MCW_CT_ROA_183_R2	0.0	0.0
MCW_CT_ROA_185_R1	0.0	0.0
MCW_CT_ROA_185_R2	0.0	0.0
MCW_CT_ROA_189_R1	0.0	0.0
MCW_CT_ROA_189_R2	0.0	0.0
MCW_CT_ROA_192_R1	0.0	0.0
MCW_CT_ROA_192_R2	0.0	0.0
MCW_CT_ROA_194_R1	0.0	0.0
MCW_CT_ROA_194_R2	0.0	0.0
MCW_CT_ROA_195_R1	0.0	0.0
MCW_CT_ROA_195_R2	0.0	0.0
MCW_CT_ROA_202_R1	0.17577676248190713	0.0
MCW_CT_ROA_202_R2	0.1879663197512661	0.0
MCW_CT_ROA_206_R1	0.0	0.0
MCW_CT_ROA_206_R2	0.0	0.0
MCW_CT_ROA_207_R1	0.0	0.0
MCW_CT_ROA_207_R2	0.0	0.0
MCW_CT_ROA_208_R1	0.0	0.0
MCW_CT_ROA_208_R2	0.0	0.0
MCW_CT_ROA_209_R1	0.0	0.0
MCW_CT_ROA_209_R2	0.0	0.0
MCW_CT_ROA_210_R1	0.0	0.0
MCW_CT_ROA_210_R2	0.0	0.0
MCW_CT_ROA_211_R1	0.0	0.0
MCW_CT_ROA_211_R2	0.0	0.0
MCW_CT_ROA_213_R1	0.0	0.0
MCW_CT_ROA_213_R2	0.0	0.0
MCW_CT_ROA_215_R1	0.0	0.0
MCW_CT_ROA_215_R2	0.0	0.0
MCW_CT_ROA_217_R1	0.0	0.0
MCW_CT_ROA_217_R2	0.0	0.0
MCW_CT_ROA_218_R1	0.0	0.0
MCW_CT_ROA_218_R2	0.0	0.0
MCW_CT_ROA_221_R1	0.0	0.0
MCW_CT_ROA_221_R2	0.0	0.0
MCW_CT_ROA_223_R1	0.0	0.0
MCW_CT_ROA_223_R2	0.0	0.0
MCW_CT_ROA_224_R1	0.0	0.0
MCW_CT_ROA_224_R2	0.0	0.0
MCW_CT_ROA_226_R1	0.0	0.0
MCW_CT_ROA_226_R2	0.0	0.0
MCW_CT_ROA_227_R1	0.0	0.0
MCW_CT_ROA_227_R2	0.0	0.0
MCW_CT_ROA_228_R1	0.0	0.0
MCW_CT_ROA_228_R2	0.0	0.0
MCW_CT_ROA_229_R1	0.0	0.0
MCW_CT_ROA_229_R2	0.0	0.0
MCW_CT_ROA_230_R1	0.0	0.0
MCW_CT_ROA_230_R2	0.0	0.0
MCW_CT_ROA_231_R1	0.23822651954552862	0.0
MCW_CT_ROA_231_R2	0.20823122858265875	0.0
MCW_CT_ROA_232_R1	0.0	0.0
MCW_CT_ROA_232_R2	0.0	0.0
MCW_CT_ROA_233_R1	0.0	0.0
MCW_CT_ROA_233_R2	0.0	0.0
MCW_CT_ROA_236_R1	0.0	0.0
MCW_CT_ROA_236_R2	0.0	0.0
MCW_CT_ROA_238_R1	0.0	0.0
MCW_CT_ROA_238_R2	0.0	0.0
MCW_CT_ROA_239_R1	0.0	0.0
MCW_CT_ROA_239_R2	0.0	0.0
MCW_CT_ROA_243_R1	0.0	0.0
MCW_CT_ROA_243_R2	0.0	0.0
MCW_CT_ROA_245_R1	0.0	0.0
MCW_CT_ROA_245_R2	0.0	0.0
MCW_CT_ROA_246_R1	0.0	0.0
MCW_CT_ROA_246_R2	0.0	0.0
MCW_CT_ROA_247_R1	0.0	0.0
MCW_CT_ROA_247_R2	0.0	0.0
MCW_CT_ROA_249_R1	0.0	0.0
MCW_CT_ROA_249_R2	0.0	0.0
MCW_CT_ROA_254_R1	0.0	0.0
MCW_CT_ROA_254_R2	0.10236132340932497	0.0
MCW_CT_ROA_78_R1	0.0	0.0
MCW_CT_ROA_78_R2	0.0	0.0
MCW_CT_ROA_79_R1	0.0	0.0
MCW_CT_ROA_79_R2	0.0	0.0
MCW_CT_ROA_80_R1	0.0	0.0
MCW_CT_ROA_80_R2	0.0	0.0
MCW_CT_ROA_81_R1	0.0	0.0
MCW_CT_ROA_81_R2	0.0	0.0
MCW_CT_ROA_83_R1	0.0	0.0
MCW_CT_ROA_83_R2	0.0	0.0
