Sample	Unique Reads	Duplicate Reads
MCW_CT_ROA_100_R1	4629030.0	5022574.0
MCW_CT_ROA_100_R2	5000375.0	4651229.0
MCW_CT_ROA_101_R1	4375372.0	1597315.0
MCW_CT_ROA_101_R2	4485220.0	1487467.0
MCW_CT_ROA_102_R1	4868106.0	4136465.0
MCW_CT_ROA_102_R2	5353646.0	3650925.0
MCW_CT_ROA_107_R1	8605474.0	5492286.0
MCW_CT_ROA_107_R2	9058812.0	5038948.0
MCW_CT_ROA_109_R1	5965061.0	7727446.0
MCW_CT_ROA_109_R2	7045564.0	6646943.0
MCW_CT_ROA_112_R1	8985281.0	3819318.0
MCW_CT_ROA_112_R2	9785606.0	3018993.0
MCW_CT_ROA_113_R1	4318564.0	7906215.0
MCW_CT_ROA_113_R2	4851893.0	7372886.0
MCW_CT_ROA_114_R1	2878078.0	6250898.0
MCW_CT_ROA_114_R2	3424139.0	5704837.0
MCW_CT_ROA_115_R1	5476949.0	6228304.0
MCW_CT_ROA_115_R2	5927729.0	5777524.0
MCW_CT_ROA_116_R1	4502147.0	6805874.0
MCW_CT_ROA_116_R2	5301360.0	6006661.0
MCW_CT_ROA_117_R1	3643523.0	5218773.0
MCW_CT_ROA_117_R2	3991603.0	4870693.0
MCW_CT_ROA_119_R1	4582043.0	6102275.0
MCW_CT_ROA_119_R2	4936275.0	5748043.0
MCW_CT_ROA_121_R1	4542454.0	10314033.0
MCW_CT_ROA_121_R2	5064996.0	9791491.0
MCW_CT_ROA_124_R1	4903151.0	959941.0
MCW_CT_ROA_124_R2	5024689.0	838403.0
MCW_CT_ROA_125_R1	9954215.0	3655120.0
MCW_CT_ROA_125_R2	10403744.0	3205591.0
MCW_CT_ROA_127_R1	7102221.0	1967652.0
MCW_CT_ROA_127_R2	7461542.0	1608331.0
MCW_CT_ROA_130_R1	7403416.0	2633355.0
MCW_CT_ROA_130_R2	7708267.0	2328504.0
MCW_CT_ROA_138_R1	7160402.0	3285976.0
MCW_CT_ROA_138_R2	7444056.0	3002322.0
MCW_CT_ROA_139_R1	6082617.0	4679968.0
MCW_CT_ROA_139_R2	6871701.0	3890884.0
MCW_CT_ROA_140_R1	5586980.0	3133945.0
MCW_CT_ROA_140_R2	6230478.0	2490447.0
MCW_CT_ROA_141_R1	7471955.0	4722395.0
MCW_CT_ROA_141_R2	8165675.0	4028675.0
