Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MCW_CT_ROA_100_R1	MCW_CT_ROA_100_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9651604.0	0.0	75.0	50.0	47.96124255214118	75.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_100_R2	MCW_CT_ROA_100_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9651604.0	0.0	75.0	50.0	51.808738052662996	75.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	fail
MCW_CT_ROA_101_R1	MCW_CT_ROA_101_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5972687.0	0.0	75.0	50.0	73.25633878379956	75.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
MCW_CT_ROA_101_R2	MCW_CT_ROA_101_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5972687.0	0.0	75.0	49.0	75.09550925287394	75.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
MCW_CT_ROA_102_R1	MCW_CT_ROA_102_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9004571.0	0.0	75.0	50.0	54.06260423341174	75.0	pass	pass	fail	pass	fail	warn	pass	pass	warn	pass	warn
MCW_CT_ROA_102_R2	MCW_CT_ROA_102_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9004571.0	0.0	75.0	49.0	59.45474851718991	75.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
MCW_CT_ROA_107_R1	MCW_CT_ROA_107_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14097760.0	0.0	75.0	55.0	61.041423235802164	75.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
MCW_CT_ROA_107_R2	MCW_CT_ROA_107_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14097760.0	0.0	75.0	54.0	64.25710164681978	75.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
MCW_CT_ROA_109_R1	MCW_CT_ROA_109_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13692507.0	0.0	75.0	54.0	43.564410850493914	75.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_109_R2	MCW_CT_ROA_109_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13692507.0	0.0	75.0	54.0	51.45561396072633	75.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
MCW_CT_ROA_112_R1	MCW_CT_ROA_112_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12804599.0	0.0	75.0	53.0	70.17229351538789	75.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
MCW_CT_ROA_112_R2	MCW_CT_ROA_112_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12804599.0	0.0	75.0	52.0	76.42258219230207	75.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
MCW_CT_ROA_113_R1	MCW_CT_ROA_113_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12224779.0	0.0	75.0	51.0	35.32631349981872	75.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_113_R2	MCW_CT_ROA_113_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12224779.0	0.0	75.0	51.0	39.68900276616444	75.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_114_R1	MCW_CT_ROA_114_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9128976.0	0.0	75.0	49.0	31.526838923583135	75.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_114_R2	MCW_CT_ROA_114_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9128976.0	0.0	75.0	49.0	37.508462283362284	75.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_115_R1	MCW_CT_ROA_115_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11705253.0	0.0	75.0	47.0	46.790522083865646	75.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	fail
MCW_CT_ROA_115_R2	MCW_CT_ROA_115_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11705253.0	0.0	75.0	47.0	50.64161107924667	75.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
MCW_CT_ROA_116_R1	MCW_CT_ROA_116_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11308021.0	0.0	75.0	52.0	39.81374096216732	75.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	pass	fail
MCW_CT_ROA_116_R2	MCW_CT_ROA_116_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11308021.0	0.0	75.0	51.0	46.88140870870382	75.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	fail
MCW_CT_ROA_117_R1	MCW_CT_ROA_117_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8862296.0	0.0	75.0	49.0	41.11262927332283	75.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
MCW_CT_ROA_117_R2	MCW_CT_ROA_117_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8862296.0	0.0	75.0	49.0	45.04027734639149	75.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
MCW_CT_ROA_119_R1	MCW_CT_ROA_119_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10684318.0	0.0	75.0	51.0	42.885678396609535	75.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	pass	fail
MCW_CT_ROA_119_R2	MCW_CT_ROA_119_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10684318.0	0.0	75.0	50.0	46.20112171284757	75.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_121_R1	MCW_CT_ROA_121_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14856487.0	0.0	75.0	49.0	30.575557222183757	75.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_121_R2	MCW_CT_ROA_121_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14856487.0	0.0	75.0	49.0	34.0928236803922	75.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
MCW_CT_ROA_124_R1	MCW_CT_ROA_124_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5863092.0	0.0	75.0	51.0	83.62739139577774	75.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	warn
MCW_CT_ROA_124_R2	MCW_CT_ROA_124_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5863092.0	0.0	75.0	51.0	85.7003210311523	75.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	warn
MCW_CT_ROA_125_R1	MCW_CT_ROA_125_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13609335.0	0.0	75.0	55.0	73.14255250725967	75.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
MCW_CT_ROA_125_R2	MCW_CT_ROA_125_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13609335.0	0.0	75.0	55.0	76.44564183963311	75.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
MCW_CT_ROA_127_R1	MCW_CT_ROA_127_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9069873.0	0.0	75.0	52.0	78.3056253843611	75.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	warn
MCW_CT_ROA_127_R2	MCW_CT_ROA_127_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9069873.0	0.0	75.0	52.0	82.26731855542721	75.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	warn
MCW_CT_ROA_130_R1	MCW_CT_ROA_130_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10036771.0	0.0	75.0	50.0	73.76292368957236	75.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	warn
MCW_CT_ROA_130_R2	MCW_CT_ROA_130_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10036771.0	0.0	75.0	50.0	76.80026517861846	75.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	warn
MCW_CT_ROA_138_R1	MCW_CT_ROA_138_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10446378.0	0.0	75.0	49.0	68.5443459636794	75.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
