Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MCW_CT_ROA_100_R1	52.03875744785882	50.0	75.0	36.36363636363637	9651604.0
MCW_CT_ROA_100_R2	48.191261947337004	50.0	75.0	18.181818181818183	9651604.0
MCW_CT_ROA_101_R1	26.743661216200437	50.0	75.0	18.181818181818183	5972687.0
MCW_CT_ROA_101_R2	24.90449074712606	49.0	75.0	9.090909090909092	5972687.0
MCW_CT_ROA_102_R1	45.93739576658826	50.0	75.0	18.181818181818183	9004571.0
MCW_CT_ROA_102_R2	40.54525148281009	49.0	75.0	9.090909090909092	9004571.0
MCW_CT_ROA_107_R1	38.958576764197836	55.0	75.0	27.27272727272727	14097760.0
MCW_CT_ROA_107_R2	35.74289835318022	54.0	75.0	18.181818181818183	14097760.0
MCW_CT_ROA_109_R1	56.435589149506086	54.0	75.0	36.36363636363637	13692507.0
MCW_CT_ROA_109_R2	48.54438603927367	54.0	75.0	18.181818181818183	13692507.0
MCW_CT_ROA_112_R1	29.827706484612108	53.0	75.0	27.27272727272727	12804599.0
MCW_CT_ROA_112_R2	23.577417807697927	52.0	75.0	18.181818181818183	12804599.0
MCW_CT_ROA_113_R1	64.67368650018128	51.0	75.0	36.36363636363637	12224779.0
MCW_CT_ROA_113_R2	60.31099723383556	51.0	75.0	27.27272727272727	12224779.0
MCW_CT_ROA_114_R1	68.47316107641686	49.0	75.0	36.36363636363637	9128976.0
MCW_CT_ROA_114_R2	62.491537716637716	49.0	75.0	27.27272727272727	9128976.0
MCW_CT_ROA_115_R1	53.209477916134354	47.0	75.0	36.36363636363637	11705253.0
MCW_CT_ROA_115_R2	49.35838892075333	47.0	75.0	18.181818181818183	11705253.0
MCW_CT_ROA_116_R1	60.18625903783268	52.0	75.0	45.45454545454545	11308021.0
MCW_CT_ROA_116_R2	53.11859129129618	51.0	75.0	36.36363636363637	11308021.0
MCW_CT_ROA_117_R1	58.88737072667717	49.0	75.0	36.36363636363637	8862296.0
MCW_CT_ROA_117_R2	54.95972265360851	49.0	75.0	27.27272727272727	8862296.0
MCW_CT_ROA_119_R1	57.114321603390465	51.0	75.0	45.45454545454545	10684318.0
MCW_CT_ROA_119_R2	53.79887828715243	50.0	75.0	27.27272727272727	10684318.0
MCW_CT_ROA_121_R1	69.42444277781624	49.0	75.0	36.36363636363637	14856487.0
MCW_CT_ROA_121_R2	65.9071763196078	49.0	75.0	27.27272727272727	14856487.0
MCW_CT_ROA_124_R1	16.372608604222265	51.0	75.0	9.090909090909092	5863092.0
MCW_CT_ROA_124_R2	14.2996789688477	51.0	75.0	9.090909090909092	5863092.0
MCW_CT_ROA_125_R1	26.857447492740334	55.0	75.0	18.181818181818183	13609335.0
MCW_CT_ROA_125_R2	23.55435816036689	55.0	75.0	18.181818181818183	13609335.0
MCW_CT_ROA_127_R1	21.694374615638907	52.0	75.0	9.090909090909092	9069873.0
MCW_CT_ROA_127_R2	17.73268144457279	52.0	75.0	9.090909090909092	9069873.0
MCW_CT_ROA_130_R1	26.23707631042764	50.0	75.0	9.090909090909092	10036771.0
MCW_CT_ROA_130_R2	23.19973482138154	50.0	75.0	9.090909090909092	10036771.0
MCW_CT_ROA_138_R1	31.455654036320595	49.0	75.0	18.181818181818183	10446378.0
MCW_CT_ROA_138_R2	28.74031948207623	49.0	75.0	18.181818181818183	10446378.0
MCW_CT_ROA_139_R1	43.4836846937719	53.0	75.0	18.181818181818183	10762585.0
MCW_CT_ROA_139_R2	36.151955793944936	52.0	75.0	18.181818181818183	10762585.0
MCW_CT_ROA_140_R1	35.935931833092795	51.0	75.0	9.090909090909092	8720925.0
MCW_CT_ROA_140_R2	28.557154085043436	51.0	75.0	9.090909090909092	8720925.0
MCW_CT_ROA_141_R1	38.726095648664526	48.0	75.0	18.181818181818183	12194350.0
MCW_CT_ROA_141_R2	33.037231522312084	48.0	75.0	18.181818181818183	12194350.0
MCW_CT_ROA_142_R1	33.095707663086245	50.0	75.0	9.090909090909092	7383893.0
MCW_CT_ROA_142_R2	29.170492097415718	50.0	75.0	9.090909090909092	7383893.0
MCW_CT_ROA_145_R1	40.15205951687538	52.0	75.0	18.181818181818183	10382398.0
MCW_CT_ROA_145_R2	37.01253228651138	51.0	75.0	18.181818181818183	10382398.0
MCW_CT_ROA_146_R1	41.76085916374448	54.0	75.0	18.181818181818183	12451640.0
MCW_CT_ROA_146_R2	35.95115122293092	54.0	75.0	18.181818181818183	12451640.0
MCW_CT_ROA_147_R1	26.677348647363843	49.0	75.0	9.090909090909092	7627808.0
MCW_CT_ROA_147_R2	21.137388882792422	49.0	75.0	9.090909090909092	7627808.0
MCW_CT_ROA_148_R1	31.6383817455624	50.0	75.0	9.090909090909092	8242496.0
MCW_CT_ROA_148_R2	27.839005530241266	49.0	75.0	9.090909090909092	8242496.0
MCW_CT_ROA_149_R1	42.43273433253821	56.0	75.0	18.181818181818183	16699929.0
MCW_CT_ROA_149_R2	40.20321535540783	56.0	75.0	18.181818181818183	16699929.0
MCW_CT_ROA_156_R1	48.73558284970457	55.0	75.0	18.181818181818183	11951195.0
MCW_CT_ROA_156_R2	45.73226483123486	54.0	75.0	18.181818181818183	11951195.0
MCW_CT_ROA_157_R1	29.63926194036857	56.0	75.0	18.181818181818183	13986234.0
MCW_CT_ROA_157_R2	29.053023271835727	55.0	75.0	18.181818181818183	13986234.0
MCW_CT_ROA_158_R1	22.67342697858443	50.0	75.0	18.181818181818183	8616225.0
MCW_CT_ROA_158_R2	20.40658969522319	50.0	75.0	18.181818181818183	8616225.0
MCW_CT_ROA_159_R1	35.855045744252024	49.0	75.0	18.181818181818183	8134940.0
MCW_CT_ROA_159_R2	32.062264161720094	49.0	75.0	18.181818181818183	8134940.0
